57071; 22; -21; -984
57081; 28; -20; -987
57091; 31; -20; -983
57101; 30; -14; -993
57111; 25; -23; -994
57121; 27; -29; -991
57131; 26; -25; -982
57141; 24; -20; -988
57151; 28; -15; -995
57161; 32; -17; -986
57171; 28; -26; -993
57181; 23; -25; -981
57191; 23; -19; -987
57201; 31; -21; -987
57211; 28; -19; -992
57221; 26; -18; -986
57231; 26; -25; -987
57241; 26; -26; -986
57251; 29; -19; -998
57261; 26; -22; -991
57271; 31; -24; -984
57281; 22; -23; -989
57291; 28; -19; -987
57301; 32; -17; -992
57311; 29; -18; -990
57321; 26; -24; -995
57331; 24; -31; -988
57341; 23; -21; -995
57351; 24; -22; -995
57361; 26; -21; -992
57371; 27; -22; -984
57381; 29; -26; -996
57391; 26; -19; -992
57401; 20; -23; -992
57411; 26; -19; -999
57421; 27; -28; -987
57431; 23; -17; -980
57441; 25; -16; -980
57451; 20; -21; -981
57461; 28; -17; -995
57471; 20; -30; -992
57481; 21; -30; -991
57491; 27; -19; -993
57501; 30; -20; -988
57511; 29; -16; -994
57521; 24; -23; -987
57531; 23; -23; -991
57541; 24; -21; -994
57551; 25; -22; -987
57561; 29; -12; -991
57571; 27; -21; -984
57581; 23; -22; -989
57591; 26; -25; -995
57601; 28; -22; -994
57611; 26; -22; -996
57621; 26; -26; -992
57631; 27; -24; -991
57641; 26; -20; -993
57651; 29; -22; -992
57661; 28; -19; -986
57671; 28; -19; -986
57681; 24; -20; -983
57691; 26; -23; -987
57701; 23; -22; -996
57711; 27; -20; -989
57721; 25; -24; -979
57731; 28; -20; -984
57741; 23; -19; -991
57751; 21; -19; -996
57761; 25; -23; -991
57771; 29; -23; -989
57781; 31; -24; -986
57791; 28; -21; -990
57801; 27; -19; -991
57811; 20; -24; -993
57821; 30; -25; -997
57831; 28; -26; -987
57841; 22; -21; -993
57851; 27; -19; -990
57861; 29; -24; -993
57871; 29; -19; -988
57881; 24; -22; -980
57891; 24; -18; -991
